rule_id,condition,leans_toward,leans_away_from,strength,owner,status,scope,fires,sme_row,notes
S11,"NOT round_trip AND turn_dest IN ('DXB','RUH','DMM','DOH','HKG','TPE') AND max_tier <= 4 AND age_known AND age BETWEEN 21 AND 60",OFW/Migrant,Balikbayan/VFR,strong,RM Domestic,prior,one-ways w/ known age,349444,18,"Workers LEAVING for the job: one-way on a labour route. Direction as written is correct here (MNL-outbound) — unlike S14. Age is international-only, so this is silent on domestic travel"
S12,"dep_month IN (4,5) AND turn_dest IN ('BKK','SIN','ICN','NRT')",Leisure,OFW/Migrant,moderate,RM Domestic,withdrawn,all,239944,19,"WITHDRAWN 2026-08-17 — decision 1: we keep `dep_month` as a validation anchor, so no rule may consume it. The seasonal spike is the claim; a route-only version would be a different assertion we have not put to the SME. Retained here rather than deleted so the SME can see what we set aside and why. Original: Summer and Holy Week spikes to Asian tourist hubs are leisure, not contract labour. Spends `dep_month` — see S02"
S13,sea_crew AND connecting,OFW/Migrant,,strong,RM Domestic,withdrawn,all,236842,20,"PAL 2026-08-18: 'remove rule'. The other-airline leg was unverifiable so the rule fired wider than intended; RM chose removal over a partial rule. Original: PARTIAL TRANSCRIPTION. The SME's condition also requires the connecting sector to be operated by another airline, which we cannot check: `OperatingCarrierCode` is constant 'PR' across the whole extract. The OAL half is dropped, so this fires wider than intended. Confidence was `certain` on a `leans toward` verdict — mapped to strength `strong`"
S14,"round_trip AND foreign_issue AND stay_nights BETWEEN 28 AND 45 AND origin_first IN ('DXB','RUH','DMM','DOH')",OFW/Migrant,Balikbayan/VFR,moderate,RM Domestic,prior,round trips,90540,21,"PAL 2026-08-18: 'do not agree, RUHMNL should be read as is' — so the rule is now explicitly DIRECTIONAL on the inbound leg (`origin_first` in the Gulf, i.e. RUHMNL) rather than direction-agnostic. RM is right: agnostic matching conflates workers leaving for the job with workers coming home, which are different rules. Costs almost nothing — 90,540 bookings against 94,247 agnostic, so 96% of the volume with a cleaner definition. Also per C3, RM asked us to 'edit this rule as recommended as seen in the data', so the unsupported 45-night half is noted as unvalidated. TWO CORRECTIONS APPLIED, both measured — see outputs/stay_length/summary.md. (1) NARROWED TO THE GULF: the sheet said 'Middle East / East Asia Hubs', but HKG/TPE put only 1.93% of round trips in the 28-32 night window versus 19.11% for the Gulf, and pooling them drops discrimination below chance (AUC 0.375 vs 0.676 Gulf-only). (2) DIRECTION-AGNOSTIC: the sheet's `TripOD = MNLxxx` notation is backwards for its own population — Gulf round trips start in the Gulf 260216 times versus Manila 26195. Read literally the rule fires on 5166 bookings instead of the count here. ALSO the '~45 day' half of the claim is null (excess 1.34 against a 1.58 round-number control), so 28-45 is kept as the SME's stated band, not as a validated one. Confound still open: a Gulf-specific one-month max-stay FARE RULE would produce the same pattern — needs FarebasisCode"
S15,"turn_dest IN ('FCO','TLV','CDG','LIS') AND is_group AND age_known AND age >= 50",Pilgrimage,Leisure,strong,RM Domestic,withdrawn,intl w/ known age,29,22,PAL 2026-08-18: 'No other airport codes to add' — the Catholic pilgrimage hubs (FCO/TLV/CDG/LIS) are withdrawn. Only Jeddah/Medina stand. Consistent with the measurement: these fired on under 700 bookings each. Original: Catholic pilgrimage hubs sit outside the PR network — FCO/TLV/CDG/LIS total 28224 trip endpoints against 70650 for JED/MED. Reasoning sound; population absent
S16,"dep_month IN (3,4) AND turn_dest IN ('FCO','TLV')",Pilgrimage,Leisure,moderate,RM Domestic,withdrawn,all,656,23,"PAL 2026-08-18: also withdrawn on route grounds — 'No other airport codes to add'. WITHDRAWN 2026-08-17 — decision 1: we keep `dep_month` as a validation anchor, so no rule may consume it. Already too thin, and Lent/Easter timing is the claim. Retained here rather than deleted so the SME can see what we set aside and why. Original: See S15 — same route-volume problem"
S17,"round_trip AND lead_days >= 90 AND max_tier IN (2,3) AND turn_dest IN ('JED','MED','FCO','TLV','CDG','LIS')",Pilgrimage,Leisure,moderate,RM Domestic,withdrawn,round trips,349,25,PAL 2026-08-18: 'No other airport codes to add' — the Catholic pilgrimage hubs (FCO/TLV/CDG/LIS) are withdrawn. Only Jeddah/Medina stand. Consistent with the measurement: these fired on under 700 bookings each. Original: Pilgrimages are planned months ahead and strictly round trip. Fires too thin even including the Islamic hubs — the three conjunctive filters multiply down
S18,round_trip AND lead_days >= 60 AND max_tier = 1,Leisure,Corporate,strong,RM Domestic,prior,round trips,1295947,26,"UNBLOCKED 2026-08-17 by PAL decision. Price-sensitive promo buyers booking 2+ months out. Blocked on taxonomy decision 3: is the SME's 'Leisure' our Budget/Adventure, or a new mid-tier rung? Their proposal of an Ultra Wealthy Leisure tier implies they see a value ladder we do not model"
S19,round_trip AND stay_nights BETWEEN 2 AND 4 AND route_theme = 'domestic_leisure' AND max_tier <= 3,Leisure,Corporate,strong,RM Domestic,prior,round trips,628554,27,"UNBLOCKED 2026-08-17 by PAL decision. Weekend trips to Boracay, Palawan, Coron and Siargao on non-flexible fares. The one genuinely domestic rule in the whole sheet. Blocked on decision 3"
S20,"round_trip AND dep_month NOT IN (3,4,5,12) AND stay_nights >= 21",Balikbayan/VFR,Leisure,moderate,RM Domestic,withdrawn,round trips,841879,28,"WITHDRAWN 2026-08-17 — decision 1: we keep `dep_month` as a validation anchor, so no rule may consume it. Off-peak timing is the whole claim. Retained here rather than deleted so the SME can see what we set aside and why. Original: Trips of 3+ weeks outside the PH holiday season are VFR rather than leisure. Blocked on decision 3. Spends `dep_month` — see S02"
S21,round_trip AND any_premium AND stay_nights BETWEEN 5 AND 14 AND route_theme = 'premium_holiday',Premium Bleisure,Corporate,moderate,RM Domestic,prior,round trips,23254,29,"Honeymoons and high-end holidays to Honolulu, Sydney, Sapporo and Melbourne. NB fires on more than the 9979 quoted in outputs/constraint_coverage: that probe matched only the OUTBOUND airport, while `route_theme` matches a themed endpoint in either direction — the same directional lesson as S14, applied to our own code. The wider reading is the correct one, and it lifts this rule above the volume threshold"
S22,round_trip AND any_premium AND stay_nights BETWEEN 5 AND 10,Premium Bleisure,Corporate,moderate,RM Domestic,prior,round trips,188036,30,"Pure corporate trips run 1-3 days; a 5-10 day premium stay is a business trip extended through the weekend. Overlaps S27 with no tie-break: a premium round trip booked 30+ days out for 7-10 nights satisfies both. Not one of the five blocking decisions — it is an open SME ask, docs/sme-constraints-intake.md section 5.2: what spend level separates ultra-wealthy from bleisure?"
S23,any_premium AND is_group,Premium Bleisure,Corporate,weak,RM Domestic,too_thin,all,6307,31,The executive brought a spouse. One of six segments claiming `is_group` — see S31
S24,any_premium AND lead_days BETWEEN 14 AND 45,Premium Bleisure,Corporate,weak,RM Domestic,prior,all,354312,32,Corporate books late at 0-7 days and promo leisure early at 60+; bleisure sits in between as meetings are coordinated around a holiday
S25,round_trip AND lead_days <= 7 AND stay_nights BETWEEN 2 AND 4 AND NOT is_group AND any_premium,Corporate,Premium Bleisure,moderate,RM Domestic,prior,round trips,112206,36,"The classic C-suite traveller: flies solo, books within a week, stays for a 2-4 day meeting, premium cabin"
S26,round_trip AND lead_days <= 14 AND stay_nights BETWEEN 2 AND 4 AND max_tier = 4,Corporate,Leisure,weak,RM Domestic,prior,round trips,273751,37,"Not all corporate is business class. Middle management on mandated economy, identifiable by the short stay plus an expensive refundable Flex fare bought on short notice"
S27,round_trip AND any_premium AND lead_days >= 30 AND stay_nights >= 7,Ultra Wealthy Leisure,Corporate,strong,RM Domestic,prior,round trips,178070,47,"UNBLOCKED 2026-08-17 by PAL decision. Luxury holiday: a high-yield fare bought a month or more out for a 1-2 week trip. Overlaps S22 on premium + lead >= 30 + stay 7-10 with NO tie-break given. The natural discriminator is spend, which the SME never referenced despite NetRevenue being available — ask them. Blocked on decision 2"
S28,round_trip AND any_premium AND is_group,Ultra Wealthy Leisure,Corporate,moderate,RM Domestic,too_thin,all,5325,48,A group of 2+ flying round trip in premium is leisure rather than corporate. Also one of six `is_group` claims — see S31
S29,max_tier <= 2,Leisure,Premium Bleisure,strong,RM Domestic,demoted_from_hard,all,14460046,34,"DEMOTED FROM `cannot_be`. At `moderate` confidence this vetoed 63.1% of the whole book — the single largest lever in the sheet. The reasoning is plausible (bleisure flights are company-paid, not deep-discount) but a moderate-confidence rule of that size must be a tilt, not a veto"
S30,round_trip AND stay_nights >= 8,Leisure,Corporate,strong,RM Domestic,demoted_from_hard,round trips,3273713,38,"DEMOTED FROM `cannot_be`. At `moderate` confidence this vetoed 33.5% of all round trips. Corporate trips are time-bound, but 8+ days crossing into bleisure, VFR or leisure is a tendency, not a law"
S31,is_group,Family,,weak,RM Domestic,withdrawn,all,533203,9,"PAL 2026-08-18: drop the Family segment entirely — 'might be best to drop family as only other indicator would be group travel during long weekends'. Their long-weekend idea is now testable with `dep_dow`, but a PH holiday calendar would be needed and `dep_dow` is a reserved anchor — recorded, not encoded. Original: DEMOTED FROM `must_be`. The sheet asserts group bookings are DEFINITIVELY Family — at `likely`, already inconsistent with a hard verdict. MEASURED 2026-08-17: `is_group` is not merely Family's main signal, it is Family's ONLY signal (100% of the 370,647 Family bookings are group), so Family has no positive definition — it is the residual 'group booking nothing higher in the waterfall claimed'. The cascade already routes 162,556 group bookings elsewhere (VFR 111,128 · OFW 43,545 · Premium Bleisure 2,433 · Pilgrimage 2,405 · Corporate 2,233 · Mabuhay 812). A `must_be` inverts that: group would be checked FIRST instead of eighth, pulling all 162,556 back and growing Family +44% while stripping five other segments. That, not the rival leans, is the damage. Rival SME group rules contest only 11.6% of Family (42,891). CORRECTION: an earlier note here claimed a parish group to Rome is labelled Family today — that is false, 0 such bookings, because Pilgrimage sits at priority 3 above Family at 8 and already catches 2,405 group bookings. Blocking decision 5"
S32,"round_trip AND dep_dow IN (0,6) AND stay_nights >= 3",Leisure,Corporate,moderate,RM Domestic,prior,round trips,2208918,39,"Corporate departs Monday or Tuesday and returns Thursday or Friday; a weekend departure lasting 3+ days is leisure. dep_dow: 0 = Sunday, 6 = Saturday"
S33,"NOT round_trip AND lead_days <= 2 AND max_tier IN (3,4)",Last-Minute (flag),Corporate,strong,RM Domestic,prior,one-ways,1360181,40,The missed-flight or urgent one-way. SME labelled this 'Last-Minute (Distressed)' — one of four flavours they wrote. See the sub-typing question in decision 4
S34,round_trip AND lead_days <= 5 AND is_group,Last-Minute (flag),Corporate,moderate,RM Domestic,prior,round trips,37482,41,The urgent family or barkada trip — corporate travellers are overwhelmingly solo. SME flavour: 'Last-Minute (Spontaneous Group)'. Also an `is_group` claim — see S31
S35,"round_trip AND lead_days <= 3 AND stay_nights BETWEEN 2 AND 4 AND dep_dow IN (5,6)",Last-Minute (flag),Corporate,moderate,RM Domestic,prior,round trips,107539,42,"The spontaneous weekender — a Friday or Saturday departure separates them from the Monday/Tuesday corporate flyer. SME flavour: 'Last-Minute (Spontaneous Weekender)'. dep_dow: 5 = Friday, 6 = Saturday"
S36,round_trip AND is_group AND lead_days >= 45 AND stay_nights BETWEEN 3 AND 7,MICE,Leisure,moderate,RM Domestic,prior,round trips,27279,44,"UNBLOCKED 2026-08-17 by PAL decision. Large bookings made months ahead for short stays — leisure groups stay longer, transient corporate books later. Blocked on decision 2. Also an `is_group` claim — see S31"
S37,"is_group AND max_tier IN (3,4) AND turn_dest IN ('SIN','NRT','BKK')",MICE,,moderate,RM Domestic,too_thin,all,6792,45,"PAL 2026-08-18: `Family` is dropped as a segment, so the lean-away target no longer exists and has been cleared. Companies buy mid-tier economy for name-change flexibility into convention hubs. Blocked on decision 2"
S38,round_trip AND stay_nights BETWEEN 90 AND 150,Intl. Student,Balikbayan/VFR,strong,RM Domestic,prior,round trips,51223,50,"REWRITTEN 2026-08-17 (decision 1): the SME's academic-month clause dep_month IN (1,5,8,9) was dropped so dep_month stays an admissible validation anchor. A 90-150 night round trip was the primary signal and survives on its own; the months were a refinement. Fires wider as a result. Flagged to RM Domestic as a modified transcription. Original: Academic-semester departures with a 3-5 month stay. Blocked on decision 2. Spends `dep_month` — see S02"
S39,round_trip AND age_known AND age BETWEEN 18 AND 26 AND stay_nights >= 90,Intl. Student,Balikbayan/VFR,moderate,RM Domestic,too_thin,round trips w/ known age,3907,51,"Age is populated on only 0.98% of domestic bookings, so this is an international-only rule by construction"
S40,is_domestic AND max_tier <= 2,Leisure,Corporate,strong,RM Domestic,prior,all,8065774,11,"UNBLOCKED 2026-08-17 by PAL decision. Price-sensitive travellers on the lowest tiers on domestic leisure routes. Our own seeded example, confirmed by the SME at `strong`. Blocked on decision 3 — and note it is near-identical to our existing Budget/Adventure waterfall rule, which is evidence that Leisure = Budget/Adventure is the right mapping"
S41,,Pilgrimage,,moderate,RM Domestic,withdrawn,—,,12,"PAL DECISION 2026-08-18: Mecca seasonality is LEFT OUT, keeping `dep_month` as a validation anchor (option (a) of the two we put to them). Their domain knowledge is retained here for the record — 'travel to meccah normally outbound from MNL is May and return is JUN. No other airport codes to add' — but is deliberately not encoded. Pilgrimage remains identified by destination (JED/MED) via the `pilgrimage` flag, so the segment is unaffected; only the seasonal refinement is forgone."
S42,,Digital Nomad,,weak,RM Domestic,withdrawn,—,,13,"PAL 2026-08-18: 'drop this segment'. Digital Nomad leaves the taxonomy — the one segment in the original requirement never implemented, now resolved by deletion rather than by a definition. Original: UNANSWERED, and the most consequential gap. Digital Nomad is the one segment in the requirement we have never implemented, and our placeholder came back untouched at `weak / pending SME input`. We still have no way to anchor it in anonymous data"
