id,group,priority,question,owner,blocks,our_recommendation,source,answer,answered_by,answered_date
B4,B. Data request,medium,Can we have loyalty tier / Mabuhay status?,Loyalty / FF Product Owner,The Mabuhay Loyalist segment,Standing request. Mabuhay is currently 0.03% of bookings - not because the segment is small but because we can only see award redemptions. The segment is real; our ability to see it is not.,knowledge-base.md s10,to scrape by data analytics,RM,18-Aug
B5,B. Data request,medium,Can you confirm the currency of the revenue fields?,Finance / IT,Every revenue figure we quote,Our own guard says the extract is plausibly single-currency (7.3x median spread across 26 issuing countries) but it has never been confirmed.,features_real.py currency guard,US Dollar $,RM,18-Aug
C1,C. Confirm our change,high,"We narrowed your OFW rule from '[Middle East / East Asia Hubs]' to the Gulf only (DXB, RUH, DMM, DOH). Agreed?",RM Domestic,"Rule S14, 118,841 bookings",Hong Kong and Taipei show the one-month pattern on only 1.9% of their round trips against 19.1% for the Gulf. Including them drops the rule's discrimination below chance (0.375 vs 0.676 Gulf-only).,sme-constraints-intake.md s3.2,yes agree,RM,18-Aug
C2,C. Confirm our change,high,"Your route rules are written as MNLDXB, MNLRUH etc. For rules about workers coming home we read them direction-agnostically. Agreed?",RM Domestic,The single most valuable rule in the workbook,"Gulf round trips start in the Gulf 260,216 times against Manila's 26,195. A worker based in Riyadh flying home is RUHMNL, not MNLRUH. Read literally your rule matched 5,166 bookings instead of 118,841 - 23x fewer. Note we kept MNL-outbound for the rule about workers leaving for the job, which is correct as written.",sme-constraints-intake.md s4a,"do not agree, RUHMNL should be read as is",RM,18-Aug
C3,C. Confirm our change,high,Your rule says OFWs hold '~30 or ~45 day' leave. We find the 30-night pattern strongly but no excess at 45. Do you still want 28-45 as the band?,RM Domestic,The band on rule S14,"We kept 28-45 as you stated it, but flagged that only the 30 end is supported by the data.",sme-constraints-intake.md s3.3,edit this rule as recommended as seen in the data,RM,18-Aug
C4,C. Confirm our change,high,"We dropped the academic-month clause from your Intl. Student rule, keeping only the 90-150 night stay. Agreed?",RM Domestic,"Rule S38 - now fires on 51,223 bookings instead of 17,354",We are protecting departure month as an independent check on our own work. The stay length was the primary signal and stands alone; the months were a refinement.,sme-constraints-intake.md s7 decision 1,agreed,RM,18-Aug
C5,C. Confirm our change,high,"Two of your 'cannot be' rules carried only moderate confidence, so we demoted them to strong tendencies rather than vetoes. Agreed?",RM Domestic,Rules S29 and S30,"One would have vetoed 63% of all bookings and the other 33% of round trips, on moderate confidence. A veto that large needs to be marked certain.",sme-constraints-intake.md s2,agreed,RM,18-Aug
C6,C. Confirm our change,high,We demoted 'Family must be a group booking' from a definitive rule to a tendency. Agreed?,RM Domestic,"6 rules across 533,203 group bookings","'Must be' means no matter what else is true - it would have outranked Corporate, Pilgrimage and OFW, pulling 162,556 bookings into Family and growing it 44%. Your own later rules claim those same bookings for five other segments.",sme-constraints-intake.md s5.1,agreed might be best to drop family as only other indicator would be group travel during long weekends,RM,18-Aug
C7,C. Confirm our change,medium,"Your sea-crew rule requires the connecting sector to be on another airline. We cannot check that, so the rule fires wider than you intended. Acceptable?",RM Domestic,"Rule S13, 236,842 bookings","The extract's operating-carrier field is constant 'PR' throughout, so the other-airline leg is unverifiable. We transcribed the rest of the condition and flagged the gap.",sme-constraints-intake.md s4,remove rule,RM,18-Aug
C8,C. Confirm our change,high,"We set aside five of your rules that turn on departure month (peak season, Q4-Q1 peak, summer spike, Lent/Easter, off-peak long stays). Agreed?",RM Domestic,"5 rules, kept in the file marked 'withdrawn' rather than deleted","Same reason as C4 - we are keeping departure month as an independent check on our own segments. For these five the month was the whole claim, so nothing survives removing it. They are retained in the file so you can see exactly what we held back.",sme-constraints-intake.md s7 decision 1,agree ,RM,18-Aug
D1,D. Still unanswered,medium,The Power BI wish list sheet came back with headers only. Which fields and views does each department want?,"All departments (RM, Sales, Marketing, CA, Loyalty, CE)",The BI half of the original ask,This was half of what we sent. Worth a short form or a 20-minute call per department rather than a spreadsheet.,"PALxMAIDA workbook, sheet 4",to be made later on,RM,18-Aug
D2,D. Still unanswered,high,Digital Nomad - how would you identify one from anonymous booking data?,Commercial + RM,The one segment in the original requirement we have never implemented,"Our seeded placeholder came back untouched, still reading 'pending SME input'. We have no way to anchor this segment and would rather you define it than we guess.",soft_constraints.csv S42,drop this segment,RM,18-Aug
D3,D. Still unanswered,medium,Pilgrimage - exact religious-hub airport codes and seasonal date ranges?,RM International,4 pilgrimage rules,"Partly answered by measurement, and the answer is discouraging: the Catholic hubs (Rome, Tel Aviv, Paris, Lisbon) carry only 28,224 trip endpoints against 70,650 for Jeddah/Medina, so all four of your pilgrimage rules fire on under 700 bookings each. Worth knowing before investing more in them.",sme-constraints-intake.md s4a,travel to meccah normally outbound from MNL is May and return is JUN. No other airport codes to add,RM,18-Aug
D4,D. Still unanswered,medium,"Four segments we do model received no input at all - Mabuhay Loyalist, Family, Budget/Adventure, Digital Nomad. Can a second round cover them?",RM Domestic + Commercial,Rule coverage for 4 of our segments,"Twelve rules came back for three segments we did not model, and nothing for four that we do. A second round should also be domestic-focused: of the 39 rules only 1 names domestic routes, and the two fields domestic rules most need are weakest there (age is on 0.98% of domestic bookings; stay length does not exist for one-way trips).",sme-constraints-intake.md s1,consider budget/adventure as leisure,RM,18-Aug
